"Kuukausi","Liikkeet, lkm","Huoneet, lkm","Huonekäyttöaste, %","Huoneen keskihinta","Vuoteet, lkm","Vuodekäyttöaste, %","Yöpymisen keskihinta"
"1995M01",161,5069,28.9,48.45,13290,18.2,28.57
"1995M02",176,5478,43.2,50.91,14248,33.0,24.96
"1995M03",184,5582,51.7,55.18,14560,40.2,25.67
"1995M04",191,5705,51.6,58.24,14924,43.5,24.56
"1995M05",171,5234,19.4,43.04,13746,12.5,25.19
"1995M06",224,6632,40.6,45.73,17471,28.7,22.38
"1995M07",229,6687,47.1,46.26,17992,36.1,18.99
"1995M08",223,6487,33.0,48.22,17433,24.7,21.83
"1995M09",193,5876,41.9,50.45,15609,30.9,25.82
"1995M10",154,4934,20.0,47.25,12851,12.3,30.31
"1995M11",151,5015,29.3,47.72,13052,18.6,29.02
"1995M12",159,5248,34.8,54.71,13671,26.6,27.87
"1996M01",159,5219,27.9,49.33,13676,17.2,30.79
"1996M02",171,5560,40.1,51.15,14450,28.4,27.80
"1996M03",179,5739,51.3,55.08,14932,37.6,28.47
"1996M04",184,5846,48.5,51.65,15303,38.7,23.12
"1996M05",174,5519,19.4,45.78,14484,12.3,26.32
"1996M06",214,6521,33.7,45.04,17375,23.4,23.01
"1996M07",220,6666,40.6,43.54,17843,30.2,19.23
"1996M08",221,6653,31.2,44.81,17662,22.3,21.78
"1996M09",189,5957,43.2,48.56,15583,32.2,25.64
"1996M10",151,5051,21.0,48.70,12963,13.2,29.93
"1996M11",150,5252,31.0,51.21,13417,20.9,30.63
"1996M12",158,5416,33.6,57.86,13823,25.5,29.63
"1997M01",151,5131,29.6,53.06,13110,19.7,31.23
"1997M02",161,5446,43.5,55.92,13845,31.8,29.97
"1997M03",178,5705,53.7,61.95,14652,43.3,29.20
"1997M04",182,5780,50.2,60.11,14937,39.7,28.40
"1997M05",170,5620,21.4,48.84,14388,15.5,25.52
"1997M06",208,6584,32.0,47.68,17068,23.2,24.40
"1997M07",209,6439,37.5,47.43,16968,29.7,19.16
"1997M08",213,6530,33.0,46.43,17092,24.6,21.96
